ARTIST_ID,ARTIST_MDA,START_LETTER
831,"Bundy, Edgar",B
832,"Burchfield, Charles",B
6319,"Burden, Chris",B
833,"Buren, Daniel",B
5625,"Burgess, John",B
834,"Burgin, Victor",B
835,"Burkert, Robert",B
836,"Burn, Rodney J.",B
68,"Burne-Jones, Sir Edward Coley, Bt",B
69,"Burnet, James",B
2558,"Burnet, John",B
2334,"Burney, Edward Francis",B
837,"Burra, Edward",B
838,"Burri, Alberto",B
972,"Burt (née Dallas), Angela",B
839,"Burt, Laurence",B
840,"Burton, Scott",B
70,"Burton, William Shakespeare",B
15853,"Burtynsky, Edward",B
841,"Bury, Pol",B
842,"Bush, Jack",B
843,"Bussy, Simon",B
6992,"Bustamante, Jean-Marc",B
71,"Butler, Elizabeth",B
72,"Butler, Mildred Anne",B
844,"Butler, Reg",B
73,"Butler, Samuel",B
2263,"Butts, John",B
74,"Buvelot, Louis",B
11455,"Byrne, Gerard",B
14505,"Cabrita Reis, Pedro",C
9243,"Cadere, André",C
845,"Cage, John",C
846,"Cahn, Miriam",C
10611,"Cahun, Claude",C
75,"Cain, Neville",C
847,"Caiserman-Roth, Ghitta",C
76,"Caldecott, Randolph",C
848,"Calder, Alexander",C
77,"Calderon, Philip Hermogenes",C
13491,"Callahan, Harry",C
78,"Callcott, Sir Augustus Wall",C
2692,"Calle, Sophie",C
2396,"Callery, Simon",C
849,"Calliyannis, Manolis",C
79,"Callow, William",C
80,"Calthrop, Claude",C
2417,"Calvert, Charles",C
81,"Calvert, Edward",C
6260,"Calzadilla, Guillermo",C
850,"Camargo, Sergio de",C
852,"Cameron, Katherine",C
851,"Cameron, Sir David",C
6211,"Camnitzer, Luis",C
853,"Camp, Jeffery",C
12393,"Campbell, Duncan",C
2385,"Campbell, James",C
854,"Campbell, Steven",C
82,"Campion, George B.",C
11797,"Campus, Peter",C
2302,Canaletto,C
13793,"Caniaris, Vlassis",C
855,"Canin, Martin",C
12113,"Cantor, Ellen",C
10272,"Cao, Fei",C
856,"Capel Doray, Audrey",C
857,"Carder, Malcolm",C
8803,"Cardew, Michel",C
4499,"Cardiff, Janet",C
859,"Cardoso, José, Junior",C
9119,"Cardoso, Maria",C
83,"Carline, George",C
860,"Carline, Hilda",C
861,"Carline, Nancy",C
862,"Carline, Richard",C
863,"Carline, Sydney",C
84,"Carlisle, George Howard, Ninth Earl of",C
864,"Carlo, Michael",C
5248,"Carnegie, Gillian",C
11738,"Carneiro, André",C
