id,accession_number,artist,artistId,title,dateText,creditLine,year,dimensions,width,height,depth,units,inscription,thumbnailUrl
97859,AR00333,"Warhol, Andy",2121,Andy Warhol,1982,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1982,"support: 738 x 509 mm
frame: 807 x 575 x 38 mm",738,509,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00333_8.jpg
97860,AR00334,"Warhol, Andy",2121,Andy Warhol's Lonesome Cowboys,1978,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1978,"support: 473 x 397 mm
frame: 540 x 363 x 38 mm",473,397,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00334_8.jpg
97861,AR00335,"Warhol, Andy",2121,Mickey Mouse,1982,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1982,"support: 842 x 594 mm
frame: 907 x 662 x 38 mm",842,594,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00335_8.jpg
97863,AR00336,"Warhol, Andy",2121,Marilyn Monroe,1983,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1983,support: 759 x 518 mm,759,518,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00336_8.jpg
97864,AR00337,"Warhol, Andy",2121,JM Magazine,c.1985,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1985,"support: 817 x 614 mm
frame: 887 x 682 x 38 mm",817,614,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00337_8.jpg
97865,AR00338,"Warhol, Andy",2121,Ryuichi Sakamoto,1984,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1984,"support: 727 x 513 mm
frame: 794 x 582 x 38 mm",727,513,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00338_8.jpg
97866,AR00339,"Warhol, Andy",2121,"New York, New York",1987,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1987,support: 564 x 444 mm,564,444,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00339_8.jpg
97867,AR00340,"Warhol, Andy",2121,Andy Warhol's Exposures,1979,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1979,support: 587 x 700 mm,587,700,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00340_8.jpg
97868,AR00341,"Warhol, Andy",2121,Marilyn Monroe,1985,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1985,support: 597 x 969 mm,597,969,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00341_8.jpg
95935,AR00342,"Ray, Charles",2751,Plank Piece I-II,1973,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1973,frame (each): 1090 x 761 x 50 mm,,,,,,http://www.tate.org.uk/art/images/work/AR/AR00342_8.jpg
