id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
708,"Bawden, Richard",Male,born 1936,1936,,"Essex, United Kingdom",,2
709,"Baxter, Glen",Male,born 1944,1944,,"Leeds, United Kingdom",,7
710,"Baxter, Iain",Male,born 1936,1936,,"England, United Kingdom",,1
2413,"Baxter, Thomas Tennant",Male,1894-1947,,,,,1
711,"Bayer, Herbert",Male,1900-1985,1900,1985,"Haag am Hausruck, Österreich","Santa Barbara, United States",13
712,"Bayes, Gilbert",Male,1872-1953,1872,1953,"London, United Kingdom","London, United Kingdom",1
713,"Bayes, Walter",Male,1869-1956,1869,1956,"London, United Kingdom","London, United Kingdom",2
6275,"Baynard, Ed",Male,born 1940,1940,,"Washington, United States",,14
714,"Baziotes, William",Male,1912-1963,1912,1963,"Pittsburgh, United States","New York, United States",1
27,"Beach, Thomas",Male,1738-1806,1738,1806,"Dorset, United Kingdom",Dorchester,1
2306,"Beale, Mary",Female,1633-1699,1633,1699,"Barrow, United Kingdom","London, United Kingdom",4
715,"Beament, Tib",Male,born 1941,1941,,Canada,,1
2705,"Beard, John",Male,born 1943,1943,,"Aberdare, United Kingdom",,7
716,"Beardsley, Aubrey",Male,1872-1898,1872,1898,"Brighton, United Kingdom","Menton, France",8
28,"Beare, George",Male,active 1743-1749,,1749,,"Andover, United Kingdom",1
717,"Beattie, Basil",Male,born 1935,1935,,"Hartlepool, United Kingdom",,12
29,"Beaumont, Sir George Howland, Bt",Male,1753-1827,1753,1827,"Great Dunmow, United Kingdom","Leicestershire, United Kingdom",62
10983,"Beban, Breda",Female,1952-2012,1952,,"Novi Sad, Jugoslavija",,1
718,"Becher, Prof. Bernd",,"1931-2007, born 1934",,,,,2
2557,"Becker, Ferdinand",Male,active 1793-1825,,,,,7
719,"Becker, Harald",Male,born 1940,1940,,Deutschland,,1
6303,"Beckley, Bill",Male,born 1946,1946,,"Hamburg, United States",,1
720,"Beckmann, Max",Male,1884-1950,1884,1950,"Leipzig, Deutschland","New York, United States",2
9118,"Bedia, Jose",Male,born 1959,,,,,1
30,"Beechey, Sir William",Male,1753-1839,1753,1839,"Burford, United Kingdom","Hampstead, United Kingdom",5
721,"Beer, Richard",Male,born 1928,1928,,"London, United Kingdom",,7
722,"Beerbohm, Sir Max",Male,1872-1956,1872,1956,"London, United Kingdom","Rapallo, Italia",28
723,"Beeton, Alan",Male,1880-1942,1880,1942,"Hampstead, United Kingdom","Reading, United Kingdom",1
724,"Beggs, Guy",Male,born 1947,1947,,"Durban, South Africa",,1
31,"Behnes, William",Male,1795-1864,1795,1864,"London, United Kingdom","London, United Kingdom",1
725,"Belcher, George",Male,1875-1947,1875,1947,"Greater London, United Kingdom","Chiddingfold, United Kingdom",2
11822,"Belhaj-Kacem, Mehdi",Male,born 1973,1973,,"Paris, France",,1
726,"Bell, Graham",Male,1910-1943,1910,,South Africa,,2
32,"Bell, John Zephaniah",Male,1794-1883,1794,,"Dundee, United Kingdom",,1
727,"Bell, Larry",Male,born 1939,1939,,"Chicago, United States",,6
728,"Bell, Laura Anning",Female,1867-1950,1867,1950,France,"London, United Kingdom",1
729,"Bell, Robert Anning",Male,1863-1933,1863,1933,"London, United Kingdom","London, United Kingdom",4
730,"Bell, Trevor",Male,born 1930,1930,,"Leeds, United Kingdom",,15
731,"Bell, Vanessa",Female,1879-1961,1879,1961,"Kensington, United Kingdom","West Sussex, United Kingdom",12
732,"Bellany, John",Male,1942-2013,1942,,"Port Seton, United Kingdom",,30
733,"Bellegarde, Claude",Male,born 1927,1927,,"Paris, France",,1
735,"Bellingham-Smith, Elinor",Female,1906-1988,1906,1988,"London, United Kingdom","Ipswich, United Kingdom",1
736,"Bellmer, Hans",Male,1902-1975,1902,1975,"Katowice, Polska","Paris, France",5
2618,"Belloguet, A.",,19th Century,,,,,2
2549,"Benazech, Peter Paul",Male,c.1744-c.1783,,,,,1
18264,"Bendix Skyum Larsen, Nikolaj",,born 1971,,,,,2
7290,"Benglis, Lynda",Female,born 1941,1941,,"Louisiana, United States",,1
737,"Benjamin, Anthony",Male,1931-2002,1931,2002,"Hampshire, United Kingdom","London, United Kingdom",15
33,"Bennett, William",Male,1811-1871,,,,,1
738,"Benois, Alexander",Male,1870-1960,1870,1960,"Sankt-Peterburg, Rossiya","Paris, France",1
739,"Benois, Nadia",Female,1896-1975,1896,1975,"Sankt-Peterburg, Rossiya","Gloucestershire, United Kingdom",1
2240,"Benrath, Frédéric",Male,born 1930,1930,,"Chatou, France",,1
740,"Benson, Abraham Harris",Male,1878-1929,1878,1929,"London, United Kingdom","London, United Kingdom",2
741,"Béraud, Jean",Male,1849-1935,1849,1935,"Sankt-Peterburg, Rossiya","Paris, France",1
742,"Berber, Mersad",Male,born 1940,1940,,"Bosanski Petrovac, Bosna i Hercegovina",,2
743,"Berg, Adrian",Male,1929-2011,1929,2011,"London, United Kingdom","Brighton, United Kingdom",1
18242,"Bergvall, Caroline",,born 1962,,,,,2
2481,"Berkeley, Rev C J R",Male,,,,,,1
744,"Berman, Eugène",Male,1899-1972,1899,1972,"Sankt-Peterburg, Rossiya","Roma, Italia",1
745,"Bernik, Janez",Male,born 1933,1933,,Slovenija,,3
746,"Berry, John",Male,born 1925,,,,,6
2234,"Berthot, Jake",Male,born 1939,1939,,"Niagara Falls, United States",,2
34,"Bettes, John",Male,active 1531-1570,,1570,,"London, United Kingdom",1
747,"Beuys, Joseph",Male,1921-1986,1921,1986,"Krefeld, Deutschland","Düsseldorf, Deutschland",588
748,"Bevan, Robert",Male,1865-1925,1865,1925,"Hove, United Kingdom","London, United Kingdom",8
2371,"Bevan, Tony",Male,born 1951,1951,,"Bradford, United Kingdom",,21
35,"Bewick, Thomas",Male,1753-1828,1753,1828,"England, United Kingdom",Gateshead,1
5469,"Bhimji, Zarina",Female,born 1963,1963,,"Mbarara, Uganda",,1
749,"Bicât, André",Male,1909-1996,1909,,"Essex, United Kingdom",,9
2296,"Bickerton, Ashley",Male,born 1959,1959,,Barbados,,3
750,"Biederman, Charles",Male,1906- 2004,1906,,"Cleveland, United States",,1
15999,"Biermann, Aenne",Female,1893-1933,1893,1933,"Goch, Deutschland","Gera, Deutschland",4
1658,"Bigge, John",Male,1892-1973,1892,,"Oxford, United Kingdom",,2
12110,"Bill, Simon",Male,born 1958,1958,,"Kingston-upon-Thames, United Kingdom",,1
2749,"Billingham, Richard",Male,born 1970,1970,,"Birmingham, United Kingdom",,5
751,"Binning, Bertram",Male,1909-1976,1909,1976,"Alberta, Canada","West Vancouver, Canada",1
752,"Bionda, Mario",Male,1913-1985,1913,1985,"Torino, Italia","Milano, Italia",1
753,"Birch, Samuel John Lamorna",Male,1869-1955,1869,1955,Egremont,"England, United Kingdom",3
36,"Bird, Edward",Male,1762-1819,1762,1819,"Wolverhampton, United Kingdom","London, United Kingdom",1
754,"Bird, John",Male,born 1945,1945,,"Doncaster, United Kingdom",,1
16782,"Birdhead (Ji Weiyu, born 1980; Song Tao, born 1979)",Male,established 2004,,,,,2
755,"Bishop, Henry",Male,1868-1939,1868,1939,"London, United Kingdom","London, United Kingdom",3
756,"Bissier, Julius",Male,1893-1965,1893,1965,"Freiburg im Breisgau, Deutschland","Ascona, Schweiz",1
757,"Bissière, Roger",Male,1886-1964,1886,1964,"Lot-et-Garonne, France","Lot, France",1
758,"Bissill, George",Male,1896-1973,1896,,"Fairford, United Kingdom",,1
6500,"Bjørlo, Per Inge",Male,born 1952,1952,,"Ålesund, Norge",,34
9260,Black Audio Film Collective,,1982-98 born 1958; born 1958; born1963; born 1959; born 1958; born 1962; born 1960,,,,,3
11563,"Black, Karla",Female,born 1972,1972,,"Alexandria, United Kingdom",,2
759,"Black, Sheila",Female,,,,,,1
760,"Blackadder, Elizabeth",Female,born 1931,1931,,"Falkirk, United Kingdom",,7
761,"Blacker, Kate",Female,born 1955,1955,,"Petersfield, United Kingdom",,1
